	req_id	src	tgt_ar
0	0	 Regions and cities Australia has six states, two major mainland territories, and other minor territories	المناطق والمدن تتكون أستراليا من ست ولايات، وإقليمين رئيسيين في البر الرئيسي، وأقاليم ثانوية أخرى
1	1	 I know he has power in both hands, but to catch Tim Bradley is going to be very hard	أعلم أنه يمتلك القوة في كلتا يديه، لكن الإمساك بتيم برادلي سيكون صعبًا للغاية
12	2	 Head coach Jeremy Colliton said the changes are being made to make sure the youngster won’t burn out like many rookies do during their first season	قال المدرب الرئيسي جيريمي كوليتون إن التغييرات يتم إجراؤها للتأكد من أن الشاب لن يحترق مثلما يحدث للعديد من المبتدئين خلال موسمهم الأول
23	3	 Wade, stressing she wants to back a judge who would show respect for settled law such as the Roe decision	وايد، مؤكدة أنها تريد دعم القاضي الذي سيظهر الاحترام للقانون المستقر مثل قرار روي
34	4	 So I guess what I’m getting at is that this isn’t a super quality game, but it’s loads of fun and it’s good at what it does	لذا أعتقد أن ما أريد قوله هو أن هذه ليست لعبة ذات جودة فائقة، لكنها ممتعة للغاية وهي جيدة فيما تفعله
45	5	""" Lara Croft was the first major female video game protagonist"	"""كانت لارا كروفت أول بطلة رئيسية لألعاب الفيديو"
46	6	 Whether you're in need of emergency service, or you simply are looking to schedule regular maintenance for your Cesspool or Sewer System, give Help	سواء كنت في حاجة إلى خدمة طوارئ، أو كنت ببساطة تبحث عن جدولة الصيانة الدورية لحفرة الصرف الصحي أو نظام الصرف الصحي الخاص بك، فامنح المساعدة
47	7	 The students interested in the exam have applied for the exam through online	وقد تقدم الطلاب المهتمون بالامتحان للامتحان عبر الإنترنت
48	8	 These procedures reflect the approach adopted by leading airlines around the world and have been in place for some time	تعكس هذه الإجراءات النهج الذي تتبناه شركات الطيران الرائدة في جميع أنحاء العالم وقد تم تطبيقها منذ بعض الوقت
49	9	uk guarantee your PANASONIC CGR-B/202A1B battery chargers transaction will be 100% safe	نضمن لك أن عملية شراء شاحن بطارية PANASONIC CGR-B/202A1B ستكون آمنة بنسبة 100%
2	10	 The bombing of Pan Am Flight 103 from London to New York resulted in 270 fatalities, including all 259 of the airplane's occupants and eleven individuals on the ground	أدى تفجير طائرة بان آم الرحلة 103 المتجهة من لندن إلى نيويورك إلى مقتل 270 شخصًا، بما في ذلك جميع ركاب الطائرة البالغ عددهم 259 شخصًا وأحد عشر شخصًا على الأرض.
3	11	" They are starving us, now they are killing us,"" he said"	"""إنهم يقتلوننا ويجوعوننا الآن""، هذا ما قاله."
4	12	 Probably that's why I couldn't warm up to his cheesy character on the boss drama lol	ربما لهذا السبب لم أستطع أن أتقبل شخصيته السخيفة في الدراما الرئيسية
5	13	 Wikinews interviewed him regarding his values, his experience, and his campaign	أجرت ويكي نيوز مقابلة معه حول قيمه وخبرته وحملته
6	14	The travellers took their places in the carriage , and again the monotony of the road , the steady trot of the horses , the sing-song words of encouragement of their driver , monopolised the thoughts of sleepy minds 	أخذ المسافرون أماكنهم في العربة، ومرة ​​أخرى رتابة الطريق، وخطوات الخيول الثابتة، وكلمات التشجيع المبهجة من سائقهم، احتكرت أفكار العقول النائمة.
7	15	 At least 23 others were hospitalized, some with multiple internal injuries	تم نقل ما لا يقل عن 23 آخرين إلى المستشفى، بعضهم مصاب بإصابات داخلية متعددة.
