	req_id	src	tgt_fr
0	0	 Regions and cities Australia has six states, two major mainland territories, and other minor territories	Régions et villes L'Australie compte six États, deux grands territoires continentaux et d'autres territoires mineurs
1	1	 I know he has power in both hands, but to catch Tim Bradley is going to be very hard	Je sais qu'il a du pouvoir dans ses deux mains, mais attraper Tim Bradley va être très difficile
12	2	 Head coach Jeremy Colliton said the changes are being made to make sure the youngster won’t burn out like many rookies do during their first season	L'entraîneur-chef Jeremy Colliton a déclaré que les changements sont apportés pour s'assurer que le jeune ne s'épuise pas comme le font de nombreuses recrues lors de leur première saison.
23	3	 Wade, stressing she wants to back a judge who would show respect for settled law such as the Roe decision	Wade, soulignant qu'elle souhaite soutenir un juge qui respecterait le droit établi, comme la décision Roe
34	4	 So I guess what I’m getting at is that this isn’t a super quality game, but it’s loads of fun and it’s good at what it does	Donc je suppose que ce que je veux dire, c'est que ce n'est pas un jeu de super qualité, mais il est très amusant et il est bon dans ce qu'il fait.
45	5	""" Lara Croft was the first major female video game protagonist"	""" Lara Croft a été la première héroïne majeure d'un jeu vidéo"
46	6	 Whether you're in need of emergency service, or you simply are looking to schedule regular maintenance for your Cesspool or Sewer System, give Help	Que vous ayez besoin d'un service d'urgence ou que vous cherchiez simplement à planifier un entretien régulier de votre puisard ou de votre système d'égouts, donnez de l'aide
47	7	 The students interested in the exam have applied for the exam through online	Les étudiants intéressés par l'examen ont postulé à l'examen en ligne
48	8	 These procedures reflect the approach adopted by leading airlines around the world and have been in place for some time	Ces procédures reflètent l’approche adoptée par les principales compagnies aériennes du monde entier et sont en place depuis un certain temps.
49	9	uk guarantee your PANASONIC CGR-B/202A1B battery chargers transaction will be 100% safe	UK garantit que votre transaction de chargeurs de batterie PANASONIC CGR-B/202A1B sera 100% sûre
2	10	 The bombing of Pan Am Flight 103 from London to New York resulted in 270 fatalities, including all 259 of the airplane's occupants and eleven individuals on the ground	L'attentat contre le vol Pan Am 103 reliant Londres à New York a fait 270 morts, dont les 259 occupants de l'avion et onze personnes au sol.
3	11	" They are starving us, now they are killing us,"" he said"	« Ils nous affament, maintenant ils nous tuent », a-t-il déclaré.
4	12	 Probably that's why I couldn't warm up to his cheesy character on the boss drama lol	C'est probablement pour ça que je n'ai pas pu m'habituer à son personnage ringard dans le drame du boss mdr
5	13	 Wikinews interviewed him regarding his values, his experience, and his campaign	Wikinews l'a interviewé sur ses valeurs, son expérience et sa campagne
