	req_id	src	tgt_it
0	0	 Regions and cities Australia has six states, two major mainland territories, and other minor territories	Regioni e città L'Australia ha sei stati, due grandi territori continentali e altri territori minori
1	1	 I know he has power in both hands, but to catch Tim Bradley is going to be very hard	So che ha il potere in entrambe le mani, ma catturare Tim Bradley sarà molto difficile
12	2	 Head coach Jeremy Colliton said the changes are being made to make sure the youngster won’t burn out like many rookies do during their first season	L'allenatore Jeremy Colliton ha detto che i cambiamenti sono stati fatti per assicurarsi che il giovane non si bruci come succede a molti principianti durante la loro prima stagione
23	3	 Wade, stressing she wants to back a judge who would show respect for settled law such as the Roe decision	Wade, sottolineando che vuole sostenere un giudice che dimostri rispetto per il diritto consolidato come la decisione Roe
34	4	 So I guess what I’m getting at is that this isn’t a super quality game, but it’s loads of fun and it’s good at what it does	Quindi credo che quello che voglio dire è che questo non è un gioco di qualità super, ma è molto divertente ed è bravo in quello che fa
45	5	""" Lara Croft was the first major female video game protagonist"	"""Lara Croft è stata la prima grande protagonista femminile di un videogioco"
46	6	 Whether you're in need of emergency service, or you simply are looking to schedule regular maintenance for your Cesspool or Sewer System, give Help	Che tu abbia bisogno di un servizio di emergenza o che tu stia semplicemente cercando di programmare una manutenzione regolare per il tuo pozzo nero o sistema fognario, fornisci aiuto
47	7	 The students interested in the exam have applied for the exam through online	Gli studenti interessati all'esame hanno fatto domanda di iscrizione all'esame tramite online
48	8	 These procedures reflect the approach adopted by leading airlines around the world and have been in place for some time	Tali procedure riflettono l'approccio adottato dalle principali compagnie aeree di tutto il mondo e sono in vigore da tempo.
49	9	uk guarantee your PANASONIC CGR-B/202A1B battery chargers transaction will be 100% safe	uk garantisce che la tua transazione con caricabatterie PANASONIC CGR-B/202A1B sarà sicura al 100%
2	10	 The bombing of Pan Am Flight 103 from London to New York resulted in 270 fatalities, including all 259 of the airplane's occupants and eleven individuals on the ground	L'attentato al volo Pan Am 103 da Londra a New York provocò 270 vittime, tra cui tutti i 259 occupanti dell'aereo e undici persone a terra.
3	11	" They are starving us, now they are killing us,"" he said"	"Ci stanno facendo morire di fame, ora ci stanno uccidendo"", ha detto"
4	12	 Probably that's why I couldn't warm up to his cheesy character on the boss drama lol	Probabilmente è per questo che non sono riuscito ad apprezzare il suo personaggio sdolcinato nel drama del boss lol
5	13	 Wikinews interviewed him regarding his values, his experience, and his campaign	Wikinews lo ha intervistato sui suoi valori, la sua esperienza e la sua campagna
6	14	The travellers took their places in the carriage , and again the monotony of the road , the steady trot of the horses , the sing-song words of encouragement of their driver , monopolised the thoughts of sleepy minds 	I viaggiatori presero posto nella carrozza e di nuovo la monotonia della strada, il trotto costante dei cavalli, le parole cantilenanti di incoraggiamento del loro conducente, monopolizzarono i pensieri delle menti assonnate.
7	15	 At least 23 others were hospitalized, some with multiple internal injuries	Almeno altre 23 persone sono state ricoverate in ospedale, alcune con ferite interne multiple
8	16	 The couple wanted a simple and relaxing landscape design that employed subtle and scattered spot lights which illuminated the exterior stone facades of the farmhouse	La coppia desiderava un design paesaggistico semplice e rilassante che utilizzasse luci spot discrete e sparse che illuminassero le facciate esterne in pietra della fattoria
9	17	 August 27 1883: Krakatoa, in the Sunda Strait between Sumatra and Java, explodes, after a very violent eruption	27 agosto 1883: il Krakatoa, nello stretto della Sonda tra Sumatra e Giava, esplode, dopo un'eruzione molto violenta
10	18	 The grouping of disorders, including PDD-NOS, autism, Asperger syndrome, Rett syndrome, and CDD, has been removed and replaced with the general term of Autism Spectrum Disorders	Il raggruppamento di disturbi, tra cui PDD-NOS, autismo, sindrome di Asperger, sindrome di Rett e CDD, è stato rimosso e sostituito con il termine generale di disturbi dello spettro autistico
11	19	 A possible explanation might be found in another nugget provided by South Korea’s spy agency: China had long protected Kim Jong Nam and his family in their home base of Macau	Una possibile spiegazione potrebbe essere trovata in un’altra chicca fornita dall’agenzia di spionaggio della Corea del Sud: la Cina ha a lungo protetto Kim Jong Nam e la sua famiglia nella loro base di Macao.
13	20	""" So to go back to what you said, I think there's different functions within their systems that they would like to be updated at different speeds"	"""Quindi, per tornare a quello che hai detto, penso che ci siano diverse funzioni nei loro sistemi che vorrebbero fossero aggiornate a velocità diverse"
14	21	 Advertisement Two more years of college later, Mike Shirt is drafted into the Pittsburgh Pirates	Pubblicità Dopo altri due anni di college, Mike Shirt viene arruolato nei Pittsburgh Pirates
15	22	 Swift hugged her crying mother after the six-woman, two-man jury said in U	Swift ha abbracciato la madre in lacrime dopo che la giuria composta da sei donne e due uomini ha dichiarato a U
16	23	 Welcome to Clix O’Clock, a new weekly feature here on We the Nerdy	Benvenuti a Clix O’Clock, una nuova rubrica settimanale qui su We the Nerdy
